      DE/eV    lambda/nm    diff_rate        +/-error
      1.7047   7.2731E+02   1.30471330E-09   8.68917604E-10
      1.7097   7.2518E+02   1.34170853E-09   7.48580176E-10
      1.7147   7.2307E+02   1.37304191E-09   6.21139748E-10
      1.7197   7.2096E+02   1.39928624E-09   4.98713339E-10
      1.7247   7.1887E+02   1.42162421E-09   3.91651165E-10
      1.7297   7.1680E+02   1.44167095E-09   3.07787306E-10
      1.7347   7.1473E+02   1.46122881E-09   2.51580895E-10
      1.7397   7.1268E+02   1.48201652E-09   2.22348834E-10
      1.7447   7.1063E+02   1.50543370E-09   2.13502293E-10
      1.7497   7.0860E+02   1.53242085E-09   2.16078628E-10
      1.7547   7.0658E+02   1.56345083E-09   2.23218908E-10
      1.7597   7.0458E+02   1.59864493E-09   2.31203617E-10
      1.7647   7.0258E+02   1.63796217E-09   2.38425291E-10
      1.7697   7.0059E+02   1.68138240E-09   2.44379236E-10
      1.7747   6.9862E+02   1.72900486E-09   2.49122970E-10
      1.7797   6.9666E+02   1.78101499E-09   2.53027389E-10
      1.7847   6.9471E+02   1.83752154E-09   2.56629223E-10
      1.7897   6.9277E+02   1.89831532E-09   2.60489310E-10
      1.7947   6.9084E+02   1.96263200E-09   2.65044129E-10
      1.7997   6.8892E+02   2.02900378E-09   2.70490185E-10
      1.8047   6.8701E+02   2.09526180E-09   2.76747900E-10
      1.8097   6.8511E+02   2.15871066E-09   2.83515170E-10
      1.8147   6.8322E+02   2.21645673E-09   2.90374494E-10
      1.8197   6.8134E+02   2.26584169E-09   2.96899482E-10
      1.8247   6.7948E+02   2.30491918E-09   3.02722729E-10
      1.8297   6.7762E+02   2.33290948E-09   3.07556851E-10
      1.8347   6.7577E+02   2.35056878E-09   3.11186275E-10
      1.8397   6.7394E+02   2.36040916E-09   3.13465574E-10
      1.8447   6.7211E+02   2.36670403E-09   3.14367218E-10
      1.8497   6.7029E+02   2.37522157E-09   3.14105037E-10
      1.8547   6.6849E+02   2.39265554E-09   3.13307985E-10
      1.8597   6.6669E+02   2.42577663E-09   3.13141436E-10
      1.8647   6.6490E+02   2.48040103E-09   3.15215159E-10
      1.8697   6.6312E+02   2.56034543E-09   3.21161527E-10
      1.8747   6.6135E+02   2.66658102E-09   3.31983462E-10
      1.8797   6.5960E+02   2.79678762E-09   3.47544085E-10
      1.8847   6.5785E+02   2.94543782E-09   3.66563583E-10
      1.8897   6.5611E+02   3.10442388E-09   3.87108210E-10
      1.8947   6.5437E+02   3.26411446E-09   4.07219026E-10
      1.8997   6.5265E+02   3.41463380E-09   4.25353383E-10
      1.9047   6.5094E+02   3.54712165E-09   4.40536011E-10
      1.9097   6.4923E+02   3.65476381E-09   4.52289334E-10
      1.9147   6.4754E+02   3.73346125E-09   4.60472623E-10
      1.9197   6.4585E+02   3.78209885E-09   4.65143456E-10
      1.9247   6.4417E+02   3.80245030E-09   4.66503370E-10
      1.9297   6.4250E+02   3.79879833E-09   4.64933228E-10
      1.9347   6.4084E+02   3.77735883E-09   4.61080362E-10
      1.9397   6.3919E+02   3.74558799E-09   4.55930810E-10
      1.9447   6.3755E+02   3.71143921E-09   4.50784897E-10
      1.9497   6.3591E+02   3.68262783E-09   4.47070144E-10
      1.9547   6.3429E+02   3.66595603E-09   4.46001891E-10
      1.9597   6.3267E+02   3.66674017E-09   4.48228328E-10
      1.9647   6.3106E+02   3.68836559E-09   4.53672425E-10
      1.9697   6.2946E+02   3.73197527E-09   4.61689914E-10
      1.9747   6.2786E+02   3.79629128E-09   4.71439449E-10
      1.9797   6.2628E+02   3.87758190E-09   4.82209826E-10
      1.9847   6.2470E+02   3.96981754E-09   4.93500073E-10
      1.9897   6.2313E+02   4.06508693E-09   5.04838192E-10
      1.9947   6.2157E+02   4.15433996E-09   5.15505946E-10
      1.9997   6.2001E+02   4.22846612E-09   5.24397932E-10
      2.0047   6.1847E+02   4.27960952E-09   5.30155035E-10
      2.0097   6.1693E+02   4.30249793E-09   5.31546538E-10
      2.0147   6.1540E+02   4.29547860E-09   5.27946754E-10
      2.0197   6.1387E+02   4.26095638E-09   5.19718673E-10
      2.0247   6.1236E+02   4.20504246E-09   5.08352233E-10
      2.0297   6.1085E+02   4.13641832E-09   4.96260857E-10
      2.0347   6.0935E+02   4.06464002E-09   4.86213040E-10
      2.0397   6.0786E+02   3.99827357E-09   4.80509494E-10
      2.0447   6.0637E+02   3.94330537E-09   4.80211633E-10
      2.0497   6.0489E+02   3.90219258E-09   4.84819847E-10
      2.0547   6.0342E+02   3.87373749E-09   4.92582500E-10
      2.0597   6.0195E+02   3.85374970E-09   5.01215296E-10
      2.0647   6.0049E+02   3.83627251E-09   5.08622267E-10
      2.0697   5.9904E+02   3.81504644E-09   5.13347312E-10
      2.0747   5.9760E+02   3.78487991E-09   5.14710954E-10
      2.0797   5.9616E+02   3.74267593E-09   5.12715464E-10
      2.0847   5.9473E+02   3.68798071E-09   5.07834031E-10
      2.0897   5.9331E+02   3.62303303E-09   5.00792638E-10
      2.0947   5.9189E+02   3.55237097E-09   4.92430209E-10
      2.0997   5.9049E+02   3.48209118E-09   4.83679476E-10
      2.1047   5.8908E+02   3.41886728E-09   4.75644396E-10
      2.1097   5.8769E+02   3.36884110E-09   4.69674453E-10
      2.1147   5.8630E+02   3.33651673E-09   4.67288344E-10
      2.1197   5.8491E+02   3.32381199E-09   4.69835102E-10
      2.1247   5.8354E+02   3.32943802E-09   4.77940923E-10
      2.1297   5.8217E+02   3.34876214E-09   4.91008076E-10
      2.1347   5.8080E+02   3.37424676E-09   5.07097183E-10
      2.1397   5.7945E+02   3.39645094E-09   5.23309709E-10
      2.1447   5.7810E+02   3.40545534E-09   5.36486309E-10
      2.1497   5.7675E+02   3.39246208E-09   5.43922188E-10
      2.1547   5.7541E+02   3.35126450E-09   5.43885903E-10
      2.1597   5.7408E+02   3.27929627E-09   5.35861943E-10
      2.1647   5.7275E+02   3.17805436E-09   5.20533584E-10
      2.1697   5.7143E+02   3.05282023E-09   4.99578369E-10
      2.1747   5.7012E+02   2.91174709E-09   4.75371945E-10
      2.1797   5.6881E+02   2.76450470E-09   4.50677272E-10
      2.1847   5.6751E+02   2.62075366E-09   4.28329499E-10
      2.1897   5.6622E+02   2.48874802E-09   4.10847360E-10
      2.1947   5.6493E+02   2.37433509E-09   3.99908232E-10
      2.1997   5.6364E+02   2.28053945E-09   3.95803250E-10
      2.2047   5.6236E+02   2.20779406E-09   3.97215956E-10
      2.2097   5.6109E+02   2.15473459E-09   4.01609640E-10
      2.2147   5.5982E+02   2.11933226E-09   4.06124323E-10
      2.2197   5.5856E+02   2.10004470E-09   4.08600281E-10
      2.2247   5.5731E+02   2.09664715E-09   4.08388268E-10
      2.2297   5.5606E+02   2.11048734E-09   4.06746055E-10
      2.2347   5.5481E+02   2.14407347E-09   4.06646035E-10
      2.2397   5.5357E+02   2.20011178E-09   4.11820016E-10
      2.2447   5.5234E+02   2.28029117E-09   4.25154358E-10
      2.2497   5.5111E+02   2.38420246E-09   4.47201730E-10
      2.2547   5.4989E+02   2.50874171E-09   4.75823411E-10
