DE/eV lambda/nm diff_rate +/-error
1.8312 6.7707E+02 7.19611786E-07 6.94897276E-08
1.8362 6.7522E+02 7.29015370E-07 7.04354165E-08
1.8412 6.7339E+02 7.40829040E-07 7.16971576E-08
1.8462 6.7156E+02 7.53984065E-07 7.31496385E-08
1.8512 6.6975E+02 7.67209366E-07 7.46177800E-08
1.8562 6.6795E+02 7.79199857E-07 7.59143621E-08
1.8612 6.6615E+02 7.88803912E-07 7.68748030E-08
1.8662 6.6437E+02 7.95195805E-07 7.73778898E-08
1.8712 6.6259E+02 7.97998433E-07 7.73505156E-08
1.8762 6.6083E+02 7.97329511E-07 7.67611026E-08
1.8812 6.5907E+02 7.93759309E-07 7.56093632E-08
1.8862 6.5732E+02 7.88186520E-07 7.39217828E-08
1.8912 6.5558E+02 7.81656859E-07 7.17673877E-08
1.8962 6.5386E+02 7.75162161E-07 6.93219325E-08
1.9012 6.5214E+02 7.69462560E-07 6.70270367E-08
1.9062 6.5043E+02 7.64968971E-07 6.58737550E-08
1.9112 6.4872E+02 7.61708222E-07 6.76581385E-08
1.9162 6.4703E+02 7.59372229E-07 7.46495409E-08
1.9212 6.4535E+02 7.57431454E-07 8.83323964E-08
1.9262 6.4367E+02 7.55277846E-07 1.08401407E-07
1.9312 6.4201E+02 7.52358268E-07 1.33027426E-07
1.9362 6.4035E+02 7.48267196E-07 1.59556467E-07
1.9412 6.3870E+02 7.42783902E-07 1.84978225E-07
1.9462 6.3706E+02 7.35858203E-07 2.06283034E-07
1.9512 6.3543E+02 7.27563304E-07 2.20848240E-07
1.9562 6.3380E+02 7.18039734E-07 2.26829896E-07
1.9612 6.3219E+02 7.07450321E-07 2.23466139E-07
1.9662 6.3058E+02 6.95955766E-07 2.11206334E-07
1.9712 6.2898E+02 6.83708957E-07 1.91627861E-07
1.9762 6.2739E+02 6.70858463E-07 1.67164440E-07
1.9812 6.2580E+02 6.57550177E-07 1.40722393E-07
1.9862 6.2423E+02 6.43920210E-07 1.15280469E-07
1.9912 6.2266E+02 6.30079089E-07 9.35269263E-08
1.9962 6.2110E+02 6.16093439E-07 7.74598400E-08
2.0012 6.1955E+02 6.01973785E-07 6.78003297E-08
2.0062 6.1801E+02 5.87674957E-07 6.35475321E-08
2.0112 6.1647E+02 5.73109935E-07 6.25685686E-08
2.0162 6.1494E+02 5.58171706E-07 6.28841597E-08
2.0212 6.1342E+02 5.42753984E-07 6.33251711E-08
2.0262 6.1190E+02 5.26762775E-07 6.34336581E-08
2.0312 6.1040E+02 5.10116509E-07 6.31600448E-08
2.0362 6.0890E+02 4.92740377E-07 6.26192928E-08
2.0412 6.0741E+02 4.74566223E-07 6.19338253E-08
2.0462 6.0592E+02 4.55549300E-07 6.11491830E-08
2.0512 6.0445E+02 4.35706141E-07 6.02164098E-08
2.0562 6.0298E+02 4.15166188E-07 5.90305445E-08
2.0612 6.0151E+02 3.94218889E-07 5.74995160E-08
2.0662 6.0006E+02 3.73333267E-07 5.56109062E-08
2.0712 5.9861E+02 3.53131754E-07 5.34705674E-08
2.0762 5.9717E+02 3.34313541E-07 5.12984115E-08
2.0812 5.9573E+02 3.17539859E-07 4.93770487E-08
2.0862 5.9431E+02 3.03307904E-07 4.79628527E-08
2.0912 5.9289E+02 2.91845852E-07 4.71917765E-08
2.0962 5.9147E+02 2.83056448E-07 4.70295673E-08
2.1012 5.9006E+02 2.76523052E-07 4.72970553E-08
2.1062 5.8866E+02 2.71574951E-07 4.77495737E-08
2.1112 5.8727E+02 2.67394069E-07 4.81583014E-08
2.1162 5.8588E+02 2.63137286E-07 4.83571803E-08
2.1212 5.8450E+02 2.58048797E-07 4.82516598E-08
2.1262 5.8313E+02 2.51543644E-07 4.78040246E-08
2.1312 5.8176E+02 2.43253454E-07 4.70122106E-08
2.1362 5.8040E+02 2.33034934E-07 4.58934632E-08
2.1412 5.7904E+02 2.20948466E-07 4.44767123E-08
2.1462 5.7769E+02 2.07217304E-07 4.28011568E-08
2.1512 5.7635E+02 1.92177928E-07 4.09155312E-08
2.1562 5.7501E+02 1.76230239E-07 3.88738589E-08
2.1612 5.7368E+02 1.59793545E-07 3.67277524E-08
2.1662 5.7236E+02 1.43271594E-07 3.45192712E-08
2.1712 5.7104E+02 1.27027758E-07 3.22788364E-08
2.1762 5.6973E+02 1.11369879E-07 3.00290707E-08
2.1812 5.6842E+02 9.65434974E-08 2.77904598E-08
2.1862 5.6712E+02 8.27318512E-08 2.55828077E-08
2.1912 5.6583E+02 7.00610514E-08 2.34199012E-08
2.1962 5.6454E+02 5.86089248E-08 2.13014195E-08
2.2012 5.6326E+02 4.84159394E-08 1.92103723E-08
2.2062 5.6198E+02 3.94964705E-08 1.71217856E-08
2.2112 5.6071E+02 3.18485648E-08 1.50205479E-08
2.2162 5.5944E+02 2.54605454E-08 1.29205182E-08
2.2212 5.5819E+02 2.03133958E-08 1.08790290E-08
2.2262 5.5693E+02 1.63787656E-08 9.00943490E-09
2.2312 5.5568E+02 1.36134371E-08 7.49948979E-09
2.2362 5.5444E+02 1.19519047E-08 6.61529607E-09
2.2412 5.5320E+02 1.12991570E-08 6.58305538E-09
2.2462 5.5197E+02 1.15257684E-08 7.35374141E-09
2.2512 5.5075E+02 1.24670200E-08 8.63152376E-09
2.2562 5.4953E+02 1.39270717E-08 1.01148157E-08
2.2612 5.4831E+02 1.56883058E-08 1.15877867E-08
2.2662 5.4710E+02 1.75250066E-08 1.29058473E-08
2.2712 5.4590E+02 1.92197215E-08 1.39769080E-08
2.2762 5.4470E+02 2.05801505E-08 1.47513755E-08
2.2812 5.4350E+02 2.14543303E-08 1.52117617E-08
2.2862 5.4232E+02 2.17421869E-08 1.53583158E-08
2.2912 5.4113E+02 2.14020738E-08 1.51948635E-08
2.2962 5.3995E+02 2.04515358E-08 1.47220696E-08
2.3012 5.3878E+02 1.89621409E-08 1.39418133E-08
2.3062 5.3761E+02 1.70488342E-08 1.28692779E-08
2.3112 5.3645E+02 1.48549302E-08 1.15445807E-08
2.3162 5.3529E+02 1.25345545E-08 1.00366210E-08
2.3212 5.3414E+02 1.02349165E-08 8.43670022E-09
2.3262 5.3299E+02 8.08099660E-09 6.84453440E-09
2.3312 5.3185E+02 6.16487027E-09 5.35196395E-09
2.3362 5.3071E+02 4.54097659E-09 4.02954996E-09
2.3412 5.2958E+02 3.22738279E-09 2.91927796E-09
2.3462 5.2845E+02 2.21188818E-09 2.03405570E-09
2.3512 5.2732E+02 1.46100233E-09 1.36262592E-09
2.3562 5.2620E+02 9.29620056E-10 8.77445308E-10
2.3612 5.2509E+02 5.69568313E-10 5.43034516E-10
2.3662 5.2398E+02 3.35904695E-10 3.22964225E-10
2.3712 5.2288E+02 1.90626503E-10 1.84574239E-10
2.3762 5.2178E+02 1.04072215E-10 1.01357827E-10
