      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.2492   5.5124E+02       6.40252657       0.66290036
      2.2542   5.5001E+02       6.13778836       0.64936275
      2.2592   5.4880E+02       5.90380210       0.63866494
      2.2642   5.4758E+02       5.70090872       0.62941905
      2.2692   5.4638E+02       5.52791584       0.62035735
      2.2742   5.4518E+02       5.38292486       0.61094002
      2.2792   5.4398E+02       5.26376751       0.60157741
      2.2842   5.4279E+02       5.16797148       0.59334746
      2.2892   5.4160E+02       5.09238226       0.58732646
      2.2942   5.4042E+02       5.03271579       0.58385352
      2.2992   5.3925E+02       4.98334678       0.58210521
      2.3042   5.3808E+02       4.93754361       0.58019770
      2.3092   5.3691E+02       4.88818352       0.57579175
      2.3142   5.3575E+02       4.82879368       0.56712216
      2.3192   5.3460E+02       4.75463420       0.55461343
      2.3242   5.3345E+02       4.66351291       0.54352564
      2.3292   5.3230E+02       4.55610139       0.54744819
      2.3342   5.3116E+02       4.43567364       0.58886596
      2.3392   5.3003E+02       4.30735658       0.68948050
      2.3442   5.2890E+02       4.17710924       0.85553589
      2.3492   5.2777E+02       4.05069708       1.07585530
      2.3542   5.2665E+02       3.93288930       1.32937655
      2.3592   5.2553E+02       3.82700269       1.59039485
      2.3642   5.2442E+02       3.73478694       1.83124312
      2.3692   5.2332E+02       3.65654273       2.02507247
      2.3742   5.2221E+02       3.59132127       2.14931331
      2.3792   5.2112E+02       3.53708412       2.18914037
      2.3842   5.2002E+02       3.49078585       2.13997579
      2.3892   5.1894E+02       3.44844001       2.00827395
      2.3942   5.1785E+02       3.40529357       1.81030908
      2.3992   5.1677E+02       3.35623286       1.56924659
      2.4042   5.1570E+02       3.29647035       1.31122908
      2.4092   5.1463E+02       3.22244068       1.06139393
      2.4142   5.1356E+02       3.13271523       0.84058150
      2.4192   5.1250E+02       3.02867723       0.66301060
      2.4242   5.1144E+02       2.91471704       0.53465563
      2.4292   5.1039E+02       2.79781010       0.45239532
      2.4342   5.0934E+02       2.68649684       0.40573253
      2.4392   5.0830E+02       2.58944241       0.38216794
      2.4442   5.0726E+02       2.51386579       0.37235486
      2.4492   5.0622E+02       2.46416053       0.37119523
      2.4542   5.0519E+02       2.44098277       0.37616638
      2.4592   5.0416E+02       2.44097672       0.38553962
      2.4642   5.0314E+02       2.45717725       0.39749823
      2.4692   5.0212E+02       2.48000613       0.40999310
      2.4742   5.0111E+02       2.49868310       0.42093859
      2.4792   5.0010E+02       2.50281611       0.42848260
      2.4842   4.9909E+02       2.48391824       0.43122711
      2.4892   4.9809E+02       2.43661746       0.42835279
      2.4942   4.9709E+02       2.35937655       0.41964635
      2.4992   4.9610E+02       2.25461522       0.40546554
