name,Es0,Es0sp,Echarg,Echargsp
b-carotene,-1557.93816979,-1557.71140189,-1557.72352047,-1557.92453589
chl-a,-2934.76164437,-2934.53510160,-2934.54001716,-2934.75690360
pheo-a,-2735.73863429,-2735.50620006,-2735.51306596,-2735.73316016
lutein,-1708.38685122,-1708.15825088,-1708.17413938,-1708.37107454
