      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.6597   4.6616E+02       4.48192189       0.60854336
      2.6647   4.6528E+02       4.61091185       0.61859590
      2.6697   4.6441E+02       4.69177936       0.62139948
      2.6747   4.6354E+02       4.72664042       0.61800095
      2.6797   4.6268E+02       4.72226419       0.61024677
      2.6847   4.6182E+02       4.68908639       0.60017666
      2.6897   4.6096E+02       4.63970976       0.58952331
      2.6947   4.6010E+02       4.58719068       0.57954251
      2.6997   4.5925E+02       4.54339329       0.57119324
      2.7047   4.5840E+02       4.51762644       0.56543643
      2.7097   4.5756E+02       4.51570714       0.56331937
      2.7147   4.5671E+02       4.53953836       0.56567325
      2.7197   4.5587E+02       4.58724368       0.57258704
      2.7247   4.5504E+02       4.65384365       0.58307006
      2.7297   4.5420E+02       4.73237691       0.59522317
      2.7347   4.5337E+02       4.81527328       0.60686429
      2.7397   4.5255E+02       4.89571133       0.61625610
      2.7447   4.5172E+02       4.96867948       0.62258435
      2.7497   4.5090E+02       5.03152811       0.62602904
      2.7547   4.5008E+02       5.08393583       0.62747333
      2.7597   4.4927E+02       5.12737348       0.62802710
      2.7647   4.4845E+02       5.16427731       0.62858906
      2.7697   4.4764E+02       5.19719812       0.62962009
      2.7747   4.4684E+02       5.22816216       0.63116438
      2.7797   4.4603E+02       5.25838114       0.63301490
      2.7847   4.4523E+02       5.28831944       0.63487308
      2.7897   4.4444E+02       5.31800767       0.63642792
      2.7947   4.4364E+02       5.34741681       0.63739785
      2.7997   4.4285E+02       5.37669554       0.63763029
      2.8047   4.4206E+02       5.40613193       0.63728417
      2.8097   4.4127E+02       5.43581491       0.63698219
      2.8147   4.4049E+02       5.46511140       0.63773280
      2.8197   4.3971E+02       5.49219061       0.64050155
      2.8247   4.3893E+02       5.51386526       0.64556286
      2.8297   4.3815E+02       5.52594701       0.65202238
      2.8347   4.3738E+02       5.52413561       0.65789867
      2.8397   4.3661E+02       5.50523848       0.66082138
      2.8447   4.3584E+02       5.46833877       0.65902014
      2.8497   4.3508E+02       5.41548387       0.65214197
      2.8547   4.3432E+02       5.35158963       0.64154553
      2.8597   4.3356E+02       5.28351275       0.62991693
      2.8647   4.3280E+02       5.21853635       0.62028206
      2.8697   4.3205E+02       5.16272054       0.61478716
      2.8747   4.3129E+02       5.11960711       0.61386723
      2.8797   4.3055E+02       5.08962413       0.61629348
      2.8847   4.2980E+02       5.07028043       0.62001277
      2.8897   4.2906E+02       5.05698218       0.62317630
      2.8947   4.2831E+02       5.04414570       0.62477190
      2.8997   4.2758E+02       5.02626914       0.62466398
      2.9047   4.2684E+02       4.99873781       0.62320734
      2.9097   4.2611E+02       4.95830317       0.62075703
      2.9147   4.2538E+02       4.90330903       0.61735467
      2.9197   4.2465E+02       4.83378791       0.61270290
      2.9247   4.2392E+02       4.75150927       0.60636360
      2.9297   4.2320E+02       4.65996747       0.59804075
      2.9347   4.2248E+02       4.56421125       0.58784321
      2.9397   4.2176E+02       4.47039013       0.57647848
      2.9447   4.2104E+02       4.38494907       0.56532310
      2.9497   4.2033E+02       4.31352567       0.55626332
      2.9547   4.1962E+02       4.25974672       0.55120266
      2.9597   4.1891E+02       4.22422249       0.55130398
      2.9647   4.1820E+02       4.20404961       0.55632027
      2.9697   4.1750E+02       4.19303835       0.56447253
      2.9747   4.1680E+02       4.18270350       0.57301753
      2.9797   4.1610E+02       4.16385392       0.57917607
      2.9847   4.1540E+02       4.12845291       0.58092468
