DE/eV lambda/nm sigma/A^2 +/-error/A^2
2.5570 4.8488E+02 2.48071164 0.42596877
2.5620 4.8394E+02 2.42999297 0.41616104
2.5670 4.8299E+02 2.38636659 0.40668150
2.5720 4.8205E+02 2.35785667 0.39856000
2.5770 4.8112E+02 2.35158481 0.39303412
2.5820 4.8019E+02 2.37296065 0.39154554
2.5870 4.7926E+02 2.42500959 0.39540137
2.5920 4.7833E+02 2.50794738 0.40516212
2.5970 4.7741E+02 2.61910308 0.42015362
2.6020 4.7650E+02 2.75324545 0.43853251
2.6070 4.7558E+02 2.90328792 0.45791858
2.6120 4.7467E+02 3.06125912 0.47618824
2.6170 4.7376E+02 3.21936044 0.49200181
2.6220 4.7286E+02 3.37091370 0.50489280
2.6270 4.7196E+02 3.51103339 0.51500819
2.6320 4.7106E+02 3.63692438 0.52273756
2.6370 4.7017E+02 3.74778387 0.52847450
2.6420 4.6928E+02 3.84435674 0.53261757
2.6470 4.6840E+02 3.92824995 0.53571836
2.6520 4.6751E+02 4.00115247 0.53855913
2.6570 4.6663E+02 4.06413131 0.54198696
2.6620 4.6576E+02 4.11717088 0.54652411
2.6670 4.6488E+02 4.15907918 0.55198539
2.6720 4.6401E+02 4.18779545 0.55738905
2.6770 4.6315E+02 4.20101687 0.56127566
2.6820 4.6228E+02 4.19695369 0.56228867
2.6870 4.6142E+02 4.17496832 0.55973203
2.6920 4.6057E+02 4.13588604 0.55386375
2.6970 4.5971E+02 4.08187921 0.54581544
2.7020 4.5886E+02 4.01598461 0.53715927
2.7070 4.5801E+02 3.94145162 0.52926431
2.7120 4.5717E+02 3.86118077 0.52269179
2.7170 4.5633E+02 3.77747172 0.51691096
2.7220 4.5549E+02 3.69217304 0.51049474
2.7270 4.5465E+02 3.60716672 0.50174011
2.7320 4.5382E+02 3.52498934 0.48956409
2.7370 4.5299E+02 3.44933804 0.47469588
2.7420 4.5217E+02 3.38524500 0.46150600
2.7470 4.5134E+02 3.33880729 0.46063794
2.7520 4.5052E+02 3.31648799 0.49025278
2.7570 4.4971E+02 3.32411728 0.57003515
2.7620 4.4889E+02 3.36579336 0.70929669
2.7670 4.4808E+02 3.44290594 0.90307186
2.7720 4.4727E+02 3.55348674 1.13695200
2.7770 4.4647E+02 3.69204016 1.39095916
2.7820 4.4567E+02 3.84992962 1.64127706
2.7870 4.4487E+02 4.01629661 1.86224102
2.7920 4.4407E+02 4.17938282 2.02940046
2.7970 4.4328E+02 4.32803286 2.12318571
2.8020 4.4248E+02 4.45310329 2.13224997
2.8070 4.4170E+02 4.54851465 2.05556731
2.8120 4.4091E+02 4.61175767 1.90269608
2.8170 4.4013E+02 4.64378510 1.69213782
2.8220 4.3935E+02 4.64835123 1.44826558
2.8270 4.3857E+02 4.63096744 1.19767378
2.8320 4.3780E+02 4.59770294 0.96583497
2.8370 4.3703E+02 4.55406948 0.77441076
2.8420 4.3626E+02 4.50419660 0.63825144
2.8470 4.3549E+02 4.45044112 0.56053735
2.8520 4.3473E+02 4.39349159 0.52959447
2.8570 4.3397E+02 4.33293276 0.52537708
2.8620 4.3321E+02 4.26813947 0.53068796
2.8670 4.3245E+02 4.19929049 0.53572172
2.8720 4.3170E+02 4.12825420 0.53660940
2.8770 4.3095E+02 4.05911433 0.53294200
2.8820 4.3020E+02 3.99817845 0.52606347
2.8870 4.2946E+02 3.95342590 0.51807158
2.8920 4.2871E+02 3.93347759 0.51122313
2.8970 4.2797E+02 3.94627371 0.50755641
2.9020 4.2724E+02 3.99770564 0.50861927
2.9070 4.2650E+02 4.09045506 0.51523989
2.9120 4.2577E+02 4.22324995 0.52736036
2.9170 4.2504E+02 4.39066867 0.54402773
2.9220 4.2431E+02 4.58352424 0.56360919
2.9270 4.2359E+02 4.78976299 0.58417573
2.9320 4.2287E+02 4.99573126 0.60390137
2.9370 4.2215E+02 5.18761507 0.62133347
2.9420 4.2143E+02 5.35284752 0.63547659
2.9470 4.2071E+02 5.48130218 0.64572973
2.9520 4.2000E+02 5.56613901 0.65177421
2.9570 4.1929E+02 5.60422624 0.65350547
2.9620 4.1858E+02 5.59611946 0.65104526
2.9670 4.1788E+02 5.54563055 0.64480086
2.9720 4.1717E+02 5.45906543 0.63549857
2.9770 4.1647E+02 5.34424958 0.62413013
