      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.4669   5.0259E+02       0.04929460       0.00726770
      2.4719   5.0157E+02       0.04907467       0.00635508
      2.4769   5.0056E+02       0.04870367       0.00584600
      2.4819   4.9955E+02       0.04829406       0.00563397
      2.4869   4.9855E+02       0.04795533       0.00558748
      2.4919   4.9755E+02       0.04778408       0.00561200
      2.4969   4.9655E+02       0.04785471       0.00566504
      2.5019   4.9556E+02       0.04821102       0.00574170
      2.5069   4.9457E+02       0.04885965       0.00585382
      2.5119   4.9359E+02       0.04976697       0.00601182
      2.5169   4.9261E+02       0.05086125       0.00621295
      2.5219   4.9163E+02       0.05204101       0.00643803
      2.5269   4.9066E+02       0.05318909       0.00665629
      2.5319   4.8969E+02       0.05419023       0.00683466
      2.5369   4.8872E+02       0.05494844       0.00694714
      2.5419   4.8776E+02       0.05540027       0.00698140
      2.5469   4.8680E+02       0.05552092       0.00694134
      2.5519   4.8585E+02       0.05532233       0.00684532
      2.5569   4.8490E+02       0.05484452       0.00672002
      2.5619   4.8395E+02       0.05414379       0.00659155
      2.5669   4.8301E+02       0.05328152       0.00647661
      2.5719   4.8207E+02       0.05231692       0.00637794
      2.5769   4.8114E+02       0.05130477       0.00628692
      2.5819   4.8021E+02       0.05029700       0.00619207
      2.5869   4.7928E+02       0.04934553       0.00608884
      2.5919   4.7835E+02       0.04850330       0.00598583
      2.5969   4.7743E+02       0.04782192       0.00590408
      2.6019   4.7651E+02       0.04734600       0.00586934
      2.6069   4.7560E+02       0.04710648       0.00590033
      2.6119   4.7469E+02       0.04711561       0.00599922
      2.6169   4.7378E+02       0.04736631       0.00614993
      2.6219   4.7288E+02       0.04783643       0.00632460
      2.6269   4.7198E+02       0.04849661       0.00649383
      2.6319   4.7108E+02       0.04931877       0.00663576
      2.6369   4.7019E+02       0.05028169       0.00674165
      2.6419   4.6930E+02       0.05137111       0.00681753
      2.6469   4.6841E+02       0.05257393       0.00688147
      2.6519   4.6753E+02       0.05386835       0.00695660
      2.6569   4.6665E+02       0.05521381       0.00706142
      2.6619   4.6577E+02       0.05654491       0.00720100
      2.6669   4.6490E+02       0.05777289       0.00736358
      2.6719   4.6403E+02       0.05879564       0.00752407
      2.6769   4.6316E+02       0.05951458       0.00765229
      2.6819   4.6230E+02       0.05985404       0.00772236
      2.6869   4.6144E+02       0.05977764       0.00772034
      2.6919   4.6058E+02       0.05929655       0.00764879
      2.6969   4.5973E+02       0.05846683       0.00752742
      2.7019   4.5888E+02       0.05737592       0.00738880
      2.7069   4.5803E+02       0.05612202       0.00726860
      2.7119   4.5719E+02       0.05479204       0.00719223
      2.7169   4.5634E+02       0.05344416       0.00716362
      2.7219   4.5551E+02       0.05209992       0.00716279
      2.7269   4.5467E+02       0.05074728       0.00715430
      2.7319   4.5384E+02       0.04935311       0.00710149
      2.7369   4.5301E+02       0.04788050       0.00697953
      2.7419   4.5218E+02       0.04630518       0.00678268
      2.7469   4.5136E+02       0.04462610       0.00652546
      2.7519   4.5054E+02       0.04286719       0.00623831
      2.7569   4.4972E+02       0.04107062       0.00595915
      2.7619   4.4891E+02       0.03928411       0.00572215
      2.7669   4.4810E+02       0.03754671       0.00554695
      2.7719   4.4729E+02       0.03587714       0.00543323
      2.7769   4.4648E+02       0.03426797       0.00536362
      2.7819   4.4568E+02       0.03268666       0.00531285
      2.7869   4.4488E+02       0.03108297       0.00525699
      2.7919   4.4409E+02       0.02940060       0.00517803
      2.7969   4.4329E+02       0.02759045       0.00506366
      2.8019   4.4250E+02       0.02562299       0.00490470
      2.8069   4.4171E+02       0.02349730       0.00469325
      2.8119   4.4093E+02       0.02124557       0.00442335
      2.8169   4.4014E+02       0.01893203       0.00409373
      2.8219   4.3936E+02       0.01664648       0.00371119
      2.8269   4.3859E+02       0.01449321       0.00329349
      2.8319   4.3781E+02       0.01257694       0.00287155
      2.8369   4.3704E+02       0.01098798       0.00249187
      2.8419   4.3627E+02       0.00978892       0.00221683
      2.8469   4.3551E+02       0.00900528       0.00211067
      2.8519   4.3474E+02       0.00862153       0.00219961
      2.8569   4.3398E+02       0.00858343       0.00244529
      2.8619   4.3322E+02       0.00880620       0.00277373
      2.8669   4.3247E+02       0.00918722       0.00311393
      2.8719   4.3171E+02       0.00962091       0.00341101
      2.8769   4.3096E+02       0.01001308       0.00362693
      2.8819   4.3022E+02       0.01029204       0.00374068
      2.8869   4.2947E+02       0.01041455       0.00374893
      2.8919   4.2873E+02       0.01036586       0.00366547
      2.8969   4.2799E+02       0.01015468       0.00351755
      2.9019   4.2725E+02       0.00980496       0.00333862
      2.9069   4.2652E+02       0.00934719       0.00315845
      2.9119   4.2578E+02       0.00881149       0.00299399
      2.9169   4.2505E+02       0.00822395       0.00284573
      2.9219   4.2433E+02       0.00760615       0.00270247
      2.9269   4.2360E+02       0.00697683       0.00255154
      2.9319   4.2288E+02       0.00635410       0.00238853
      2.9369   4.2216E+02       0.00575662       0.00222193
      2.9419   4.2144E+02       0.00520319       0.00207136
      2.9469   4.2073E+02       0.00471081       0.00195933
      2.9519   4.2001E+02       0.00429213       0.00189915
      2.9569   4.1930E+02       0.00395329       0.00188705
      2.9619   4.1860E+02       0.00369296       0.00190593
      2.9669   4.1789E+02       0.00350259       0.00193745
      2.9719   4.1719E+02       0.00336784       0.00197180
      2.9769   4.1649E+02       0.00327051       0.00200877
      2.9819   4.1579E+02       0.00319065       0.00205169
      2.9869   4.1509E+02       0.00310850       0.00209900
      2.9919   4.1440E+02       0.00300642       0.00213977
      2.9969   4.1371E+02       0.00287063       0.00215583
      3.0019   4.1302E+02       0.00269278       0.00212849
      3.0069   4.1233E+02       0.00247106       0.00204512
      3.0119   4.1165E+02       0.00221036       0.00190294
      3.0169   4.1097E+02       0.00192153       0.00170925
      3.0219   4.1029E+02       0.00161946       0.00147916
      3.0269   4.0961E+02       0.00132062       0.00123181
      3.0319   4.0893E+02       0.00104035       0.00098650
      3.0369   4.0826E+02       0.00079075       0.00075947
      3.0419   4.0759E+02       0.00057933       0.00056193
      3.0469   4.0692E+02       0.00040881       0.00039954
      3.0519   4.0625E+02       0.00027769       0.00027297
      3.0569   4.0559E+02       0.00018149       0.00017919
      3.0619   4.0493E+02       0.00011409       0.00011302
      3.0669   4.0427E+02       0.00006896       0.00006849
      3.0719   4.0361E+02       0.00004008       0.00003988
      3.0769   4.0295E+02       0.00002239       0.00002231
      3.0819   4.0230E+02       0.00001202       0.00001199
      3.0869   4.0165E+02       0.00000620       0.00000619
      3.0919   4.0100E+02       0.00000308       0.00000307
      3.0969   4.0035E+02       0.00000147       0.00000146
      3.1019   3.9970E+02       0.00000067       0.00000067
      3.1069   3.9906E+02       0.00000030       0.00000030
      3.1119   3.9842E+02       0.00000012       0.00000012
      3.1169   3.9778E+02       0.00000005       0.00000005
      3.1219   3.9714E+02       0.00000002       0.00000002
      3.1269   3.9651E+02       0.00000001       0.00000001
      3.1319   3.9588E+02       0.00000000       0.00000000
      3.1369   3.9524E+02       0.00000000       0.00000000
      3.1419   3.9462E+02       0.00000000       0.00000000
      3.1469   3.9399E+02       0.00000000       0.00000000
      3.1519   3.9336E+02       0.00000000       0.00000000
